p01,Điện thoại di động,392.0,89,Điện thoại di động
p02,Máy tính xách tay,786.0,147,Máy tính xách tay
p03,Máy ảnh kỹ thuật số,557.0,107,Máy ảnh kỹ thuật số
p04,Tivi màn hình phẳng,216.0,182,Tivi màn hình phẳng
p05,Máy lọc không khí,913.0,65,Máy lọc không khí
p06,Máy giặt,644.0,151,Máy giặt
p07,Quạt điện,105.0,96,Quạt điện
p08,Bàn chải điện,872.0,78,Bàn chải điện
p09,Máy hàn điện,681.0,118,Máy hàn điện
p10,Tai nghe không dây,502.0,172,Tai nghe không dây
p11,Máy in phun màu,318.0,134,Máy in phun màu
p12,Máy lạnh,763.0,198,Máy lạnh
p13,Tủ lạnh,481.0,57,Tủ lạnh
p14,Máy xay sinh tố,939.0,183,Máy xay sinh tố
p15,Nồi cơm điện,589.0,111,Nồi cơm điện
p16,Máy sấy tóc,175.0,95,Máy sấy tóc
p17,Máy massage,995.0,123,Máy massage
p18,Máy cắt cỏ,407.0,76,Máy cắt cỏ
p19,Đèn pin,628.0,166,Đèn pin
p20,Đồng hồ thông minh,309.0,192,Đồng hồ thông minh
